time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,sum_pressure,target_pressure,flow,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency
2024-12-06 05:30:00,0.476,0.472,0.016,0.013,0.454,0.45,1228.0,45.91,43.59,0.01,0.01
2024-12-06 05:30:00,0.469,0.464,0.016,0.014,0.448,0.45,1228.0,46.12,43.48,0.01,0.01
2024-12-06 05:30:00,0.469,0.466,0.016,0.013,0.445,0.45,1228.0,46.54,43.75,0.01,0.01
2024-12-06 05:30:00,0.476,0.473,0.016,0.013,0.453,0.45,1228.0,46.32,44.12,0.01,0.01
2024-12-06 05:30:00,0.473,0.472,0.016,0.014,0.448,0.45,1228.0,46.04,43.71,0.01,0.01
2024-12-06 05:30:00,0.47,0.466,0.016,0.014,0.445,0.45,1228.0,46.48,43.7,0.01,0.01
2024-12-06 05:30:00,0.476,0.469,0.016,0.013,0.447,0.45,1228.0,46.51,44.03,0.01,0.01
2024-12-06 05:30:00,0.475,0.47,0.016,0.013,0.451,0.45,1228.0,46.35,44.0,0.01,0.01
2024-12-06 05:30:00,0.473,0.469,0.016,0.013,0.448,0.45,1228.0,46.29,43.9,0.01,0.01
2024-12-06 05:30:00,0.471,0.468,0.016,0.013,0.447,0.45,1228.0,46.54,43.97,0.01,0.01
2024-12-06 05:30:00,0.475,0.471,0.016,0.013,0.45,0.45,1228.0,46.5,44.06,0.01,0.01
2024-12-06 05:30:00,0.474,0.469,0.016,0.013,0.448,0.45,1228.0,46.5,44.06,0.01,0.01
2024-12-06 05:30:00,0.473,0.467,0.016,0.013,0.447,0.45,1228.0,46.62,44.08,0.01,0.01
2024-12-06 05:30:00,0.473,0.469,0.016,0.013,0.447,0.45,1228.0,46.82,44.27,0.01,0.01
2024-12-06 05:30:00,0.477,0.47,0.016,0.013,0.451,0.45,1228.0,46.81,44.29,0.01,0.01
2024-12-06 05:30:00,0.473,0.469,0.016,0.013,0.449,0.45,1228.0,46.66,44.28,0.01,0.01
2024-12-06 05:31:00,0.473,0.468,0.016,0.013,0.447,0.45,1228.0,46.97,44.29,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.449,0.45,1228.0,46.96,44.38,0.01,0.01
2024-12-06 05:31:00,0.475,0.47,0.015,0.013,0.45,0.45,1228.0,46.84,44.41,0.01,0.01
2024-12-06 05:31:00,0.472,0.47,0.015,0.013,0.449,0.45,1228.0,46.93,44.41,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.449,0.45,1228.0,47.06,44.41,0.01,0.01
2024-12-06 05:31:00,0.474,0.471,0.015,0.013,0.451,0.45,1228.0,47.02,44.45,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.451,0.45,1228.0,46.86,44.44,0.01,0.01
2024-12-06 05:31:00,0.475,0.47,0.015,0.013,0.449,0.45,1228.0,47.04,44.44,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,47.05,44.45,0.01,0.01
2024-12-06 05:31:00,0.473,0.47,0.015,0.013,0.45,0.45,1228.0,46.97,44.42,0.01,0.01
2024-12-06 05:31:00,0.474,0.47,0.015,0.013,0.449,0.45,1228.0,47.03,44.43,0.01,0.01
2024-12-06 05:31:00,0.474,0.47,0.015,0.013,0.449,0.45,1228.0,47.08,44.44,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.449,0.45,1228.0,47.08,44.47,0.01,0.01
2024-12-06 05:31:00,0.474,0.471,0.015,0.013,0.45,0.45,1228.0,47.15,44.51,0.01,0.01
2024-12-06 05:31:00,0.474,0.47,0.015,0.013,0.449,0.45,1228.0,47.06,44.51,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,47.13,44.55,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,47.15,44.53,0.01,0.01
2024-12-06 05:31:00,0.474,0.47,0.015,0.013,0.449,0.45,1228.0,47.2,44.53,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.45,0.45,1228.0,47.19,44.54,0.01,0.01
2024-12-06 05:31:00,0.477,0.471,0.015,0.013,0.45,0.45,1228.0,47.13,44.57,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.45,0.45,1228.0,47.16,44.57,0.01,0.01
2024-12-06 05:31:00,0.477,0.472,0.015,0.013,0.45,0.45,1228.0,47.14,44.58,0.01,0.01
2024-12-06 05:31:00,0.475,0.472,0.015,0.013,0.45,0.45,1228.0,47.12,44.55,0.01,0.01
2024-12-06 05:31:00,0.475,0.472,0.015,0.013,0.451,0.45,1228.0,47.09,44.57,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.451,0.45,1228.0,47.04,44.56,0.01,0.01
2024-12-06 05:31:00,0.477,0.471,0.015,0.013,0.45,0.45,1228.0,47.01,44.56,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.451,0.45,1228.0,47.12,44.53,0.01,0.01
2024-12-06 05:31:00,0.475,0.472,0.015,0.013,0.45,0.45,1228.0,47.02,44.52,0.01,0.01
2024-12-06 05:31:00,0.477,0.472,0.015,0.013,0.45,0.45,1228.0,47.04,44.53,0.01,0.01
2024-12-06 05:31:00,0.478,0.473,0.015,0.013,0.451,0.45,1228.0,46.99,44.53,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.452,0.45,1228.0,46.92,44.51,0.01,0.01
2024-12-06 05:31:00,0.474,0.471,0.015,0.013,0.45,0.45,1228.0,46.88,44.43,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.449,0.45,1228.0,47.03,44.44,0.01,0.01
2024-12-06 05:31:00,0.478,0.473,0.015,0.013,0.451,0.45,1228.0,46.95,44.42,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.452,0.45,1228.0,46.91,44.42,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,46.83,44.36,0.01,0.01
2024-12-06 05:31:00,0.477,0.472,0.015,0.013,0.45,0.45,1228.0,46.94,44.38,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.451,0.45,1228.0,46.81,44.36,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.451,0.45,1228.0,46.89,44.35,0.01,0.01
2024-12-06 05:31:00,0.476,0.47,0.015,0.013,0.451,0.45,1228.0,46.81,44.35,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.45,0.45,1228.0,46.82,44.33,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.451,0.45,1228.0,46.77,44.33,0.01,0.01
2024-12-06 05:31:00,0.474,0.472,0.015,0.013,0.451,0.45,1228.0,46.78,44.29,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.451,0.45,1228.0,46.8,44.32,0.01,0.01
2024-12-06 05:31:00,0.477,0.471,0.015,0.013,0.45,0.45,1228.0,46.71,44.3,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.451,0.45,1228.0,46.72,44.28,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,46.76,44.26,0.01,0.01
2024-12-06 05:31:00,0.476,0.472,0.015,0.013,0.451,0.45,1228.0,46.73,44.25,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,46.66,44.2,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.45,0.45,1228.0,46.73,44.19,0.01,0.01
2024-12-06 05:31:00,0.476,0.471,0.015,0.013,0.45,0.45,1228.0,46.65,44.21,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,46.72,44.19,0.01,0.01
2024-12-06 05:31:00,0.477,0.472,0.015,0.013,0.45,0.45,1228.0,46.7,44.19,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.45,0.45,1228.0,46.61,44.17,0.01,0.01
2024-12-06 05:31:00,0.475,0.471,0.015,0.013,0.451,0.45,1228.0,46.68,44.16,0.01,0.01
2024-12-06 05:31:00,0.475,0.472,0.015,0.013,0.451,0.45,1228.0,46.58,44.16,0.01,0.01
2024-12-06 05:31:00,0.474,0.471,0.015,0.013,0.451,0.45,1228.0,46.54,44.12,0.01,0.01
2024-12-06 05:31:00,0.474,0.471,0.015,0.013,0.45,0.45,1228.0,46.56,44.09,0.01,0.01
2024-12-06 05:31:00,0.475,0.472,0.015,0.013,0.45,0.45,1228.0,46.62,44.12,0.01,0.01
2024-12-06 05:31:00,0.475,0.469,0.015,0.013,0.451,0.45,1228.0,46.51,44.1,0.01,0.01
2024-12-06 05:32:00,0.476,0.472,0.015,0.013,0.451,0.45,1228.0,46.55,44.08,0.01,0.01
2024-12-06 05:32:00,0.475,0.47,0.015,0.013,0.451,0.45,1228.0,46.51,44.05,0.01,0.01
