time,pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,flow
2025/3/23 13:00,0.392,0.395,0.013,0.012,42.32,43.33,0.01,0,0.37,2099.54
2025/3/23 13:00,0.392,0.394,0.013,0.011,42.34,43.31,0.01,0,0.369,2108.8
2025/3/23 13:00,0.394,0.396,0.013,0.011,42.38,43.35,0.01,0,0.37,2093.75
2025/3/23 13:00,0.393,0.396,0.013,0.011,42.26,43.34,0.01,0,0.37,2090.28
2025/3/23 13:00,0.393,0.394,0.013,0.011,42.29,43.32,0.01,0,0.369,2083.91
2025/3/23 13:00,0.393,0.396,0.013,0.011,42.41,43.34,0.01,0,0.37,2083.91
2025/3/23 13:00,0.392,0.394,0.013,0.011,42.23,43.34,0.01,0,0.371,2083.91
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.39,43.34,0.01,0,0.369,2095.49
2025/3/23 13:00,0.394,0.396,0.013,0.011,42.27,43.34,0.01,0,0.37,2110.53
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.34,43.34,0.01,0,0.37,2120.95
2025/3/23 13:00,0.393,0.394,0.013,0.011,42.29,43.33,0.01,0,0.37,2128.47
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.29,43.33,0.01,0,0.37,2122.11
2025/3/23 13:00,0.393,0.395,0.013,0.011,42.33,43.35,0.01,0,0.37,2118.06
2025/3/23 13:00,0.394,0.396,0.013,0.011,42.31,43.34,0.01,0,0.37,2118.06
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.26,43.33,0.01,0,0.37,2118.06
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.33,43.33,0.01,0,0.369,2108.8
2025/3/23 13:00,0.393,0.396,0.013,0.011,42.36,43.34,0.01,0,0.37,2105.9
2025/3/23 13:00,0.394,0.396,0.013,0.012,42.29,43.31,0.01,0,0.37,2100.69
2025/3/23 13:00,0.393,0.395,0.014,0.011,42.27,43.34,0.01,0,0.37,2096.06
2025/3/23 13:00,0.393,0.396,0.013,0.012,42.34,43.35,0.01,0,0.37,2087.96
2025/3/23 13:00,0.394,0.397,0.013,0.012,42.29,43.33,0.01,0,0.37,2073.5
2025/3/23 13:00,0.394,0.396,0.013,0.012,42.27,43.33,0.01,0,0.37,2072.34
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.29,43.33,0.01,0,0.37,2070.6
2025/3/23 13:00,0.394,0.396,0.013,0.012,42.35,43.34,0.01,0,0.371,2078.13
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.23,43.32,0.01,0,0.37,2091.44
2025/3/23 13:00,0.393,0.394,0.013,0.012,42.34,43.33,0.01,0,0.369,2091.44
2025/3/23 13:00,0.393,0.396,0.013,0.011,42.26,43.34,0.01,0,0.371,2097.8
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.24,43.33,0.01,0,0.37,2112.85
2025/3/23 13:00,0.392,0.395,0.013,0.012,42.25,43.32,0.01,0,0.371,2111.69
2025/3/23 13:00,0.393,0.394,0.013,0.012,42.26,43.3,0.01,0,0.37,2101.85
2025/3/23 13:00,0.393,0.396,0.013,0.012,42.24,43.32,0.01,0,0.37,2083.91
2025/3/23 13:00,0.392,0.395,0.013,0.012,42.22,43.3,0.01,0,0.37,2070.02
2025/3/23 13:00,0.393,0.394,0.013,0.012,42.33,43.3,0.01,0,0.37,2064.81
2025/3/23 13:00,0.393,0.396,0.013,0.012,42.28,43.3,0.01,0,0.37,2057.29
2025/3/23 13:00,0.393,0.395,0.013,0.011,42.23,43.3,0.01,0,0.37,2054.4
2025/3/23 13:00,0.394,0.395,0.013,0.011,42.28,43.3,0.01,0,0.37,2054.4
2025/3/23 13:00,0.393,0.396,0.014,0.012,42.31,43.3,0.01,0,0.37,2054.98
2025/3/23 13:00,0.393,0.396,0.013,0.012,42.29,43.3,0.01,0,0.37,2059.03
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.17,43.3,0.01,0,0.371,2058.45
2025/3/23 13:00,0.394,0.396,0.014,0.012,42.29,43.3,0.01,0,0.37,2059.61
2025/3/23 13:00,0.393,0.394,0.013,0.012,42.29,43.3,0.01,0,0.37,2052.08
2025/3/23 13:00,0.393,0.396,0.013,0.012,42.23,43.3,0.01,0,0.37,2049.77
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.26,43.3,0.01,0,0.37,2046.88
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.23,43.3,0.01,0,0.371,2049.19
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.17,43.27,0.01,0,0.37,2060.19
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.21,43.28,0.01,0,0.37,2060.19
2025/3/23 13:00,0.393,0.395,0.013,0.012,42.22,43.26,0.01,0,0.37,2059.61
2025/3/23 13:00,0.393,0.394,0.014,0.012,42.17,43.27,0.01,0,0.37,2072.34
2025/3/23 13:00,0.394,0.394,0.013,0.012,42.21,43.27,0.01,0,0.37,2079.28
2025/3/23 13:00,0.393,0.394,0.013,0.012,42.23,43.24,0.01,0,0.37,2078.13
2025/3/23 13:00,0.394,0.395,0.013,0.011,42.21,43.23,0.01,0,0.37,2067.71
2025/3/23 13:00,0.393,0.394,0.013,0.011,42.2,43.26,0.01,0,0.37,2064.24
2025/3/23 13:00,0.393,0.394,0.014,0.012,42.23,43.26,0.01,0,0.37,2058.45
2025/3/23 13:00,0.394,0.395,0.014,0.012,42.27,43.27,0.01,0,0.37,2053.24
2025/3/23 13:00,0.393,0.395,0.014,0.012,42.21,43.25,0.01,0,0.37,2052.66
2025/3/23 13:00,0.392,0.394,0.013,0.012,42.22,43.26,0.01,0,0.37,2060.76
2025/3/23 13:00,0.394,0.394,0.013,0.012,42.21,43.26,0.01,0,0.37,2068.29
2025/3/23 13:00,0.394,0.395,0.013,0.012,42.24,43.26,0.01,0,0.37,2085.07
2025/3/23 13:01,0.393,0.394,0.013,0.012,42.19,43.25,0.01,0,0.37,2102.43
2025/3/23 13:01,0.392,0.395,0.013,0.012,42.32,43.26,0.01,0,0.369,2114
2025/3/23 13:01,0.394,0.396,0.014,0.012,42.27,43.27,0.01,0,0.37,2126.16
2025/3/23 13:01,0.394,0.396,0.013,0.012,42.23,43.27,0.01,0,0.37,2134.84
2025/3/23 13:01,0.393,0.396,0.014,0.012,42.22,43.26,0.01,0,0.37,2119.79
2025/3/23 13:01,0.394,0.396,0.014,0.012,42.22,43.27,0.01,0,0.37,2115.16
2025/3/23 13:01,0.393,0.395,0.014,0.012,42.26,43.27,0.01,0,0.37,2104.75
2025/3/23 13:01,0.393,0.395,0.014,0.012,42.27,43.27,0.01,0,0.371,2094.33
2025/3/23 13:01,0.393,0.395,0.014,0.012,42.17,43.27,0.01,0,0.37,2089.7
2025/3/23 13:01,0.394,0.395,0.013,0.012,42.18,43.27,0.01,0,0.371,2072.92
2025/3/23 13:01,0.394,0.396,0.014,0.012,42.14,43.26,0.01,0,0.371,2068.87
2025/3/23 13:01,0.392,0.394,0.013,0.012,42.13,43.25,0.01,0,0.37,2072.92
2025/3/23 13:01,0.393,0.394,0.013,0.012,42.15,43.22,0.01,0,0.37,2085.65
2025/3/23 13:01,0.394,0.395,0.013,0.012,42.15,43.23,0.01,0,0.37,2087.96
2025/3/23 13:01,0.393,0.396,0.013,0.012,42.14,43.21,0.01,0,0.37,2083.33
2025/3/23 13:01,0.394,0.396,0.013,0.012,42.2,43.19,0.01,0,0.37,2079.86
2025/3/23 13:01,0.393,0.396,0.013,0.012,42.16,43.2,0.01,0,0.37,2075.81
2025/3/23 13:01,0.394,0.395,0.013,0.012,42.15,43.21,0.01,0,0.371,2055.56
2025/3/23 13:01,0.393,0.395,0.014,0.012,42.17,43.2,0.01,0,0.37,2052.66
2025/3/23 13:01,0.394,0.396,0.013,0.012,42.14,43.22,0.01,0,0.371,2048.03
2025/3/23 13:01,0.392,0.395,0.013,0.012,42.14,43.19,0.01,0,0.37,2042.25
2025/3/23 13:01,0.393,0.394,0.014,0.012,42.15,43.19,0.01,0,0.37,2034.14
2025/3/23 13:01,0.384,0.386,0.014,0.012,40.57,42.92,0.01,0,0.367,2033.56
2025/3/23 13:01,0.376,0.377,0.013,0.012,41.2,42.23,0.01,0,0.355,2037.04
2025/3/23 13:01,0.377,0.378,0.014,0.012,41.36,42.23,0.01,0,0.353,2030.09
2025/3/23 13:01,0.378,0.381,0.014,0.012,40.9,42.26,0.01,0,0.356,2018.52
2025/3/23 13:01,0.376,0.378,0.013,0.012,40.83,42.13,0.01,0,0.355,2016.2
2025/3/23 13:01,0.374,0.376,0.013,0.012,40.93,42.09,0.01,0,0.352,2004.63
2025/3/23 13:01,0.376,0.377,0.014,0.012,40.87,42.07,0.01,0,0.353,1982.06
2025/3/23 13:01,0.375,0.375,0.014,0.012,40.82,42.03,0.01,0,0.351,1982.64
2025/3/23 13:01,0.373,0.376,0.014,0.012,40.8,42.03,0.01,0,0.351,1972.22
