pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.377,0.378,0.016,0.013,43.44,44.18,0.01,0.01,0.35,0.35,2647.57
0.378,0.377,0.016,0.013,43.39,44.18,0.01,0.01,0.35,0.35,2647.57
0.379,0.378,0.016,0.013,43.38,44.19,0.01,0.01,0.35,0.35,2646.99
0.378,0.378,0.016,0.013,43.39,44.2,0.01,0.01,0.35,0.35,2634.84
0.379,0.377,0.016,0.013,43.42,44.17,0.01,0.01,0.349,0.35,2620.95
0.376,0.378,0.016,0.013,43.36,44.17,0.01,0.01,0.349,0.35,2609.38
0.376,0.379,0.016,0.013,43.35,44.18,0.01,0.01,0.35,0.35,2594.33
0.377,0.379,0.016,0.013,43.41,44.18,0.01,0.01,0.35,0.35,2590.28
0.376,0.377,0.016,0.013,43.35,44.18,0.01,0.01,0.35,0.35,2591.44
0.378,0.376,0.016,0.013,43.39,44.18,0.01,0.01,0.349,0.35,2594.33
0.379,0.377,0.016,0.013,43.36,44.18,0.01,0.01,0.35,0.35,2615.16
0.377,0.378,0.016,0.013,43.32,44.17,0.01,0.01,0.349,0.35,2638.89
0.377,0.38,0.016,0.013,43.34,44.17,0.01,0.01,0.35,0.35,2658.56
0.376,0.378,0.015,0.013,43.39,44.17,0.01,0.01,0.35,0.35,2669.56
0.379,0.378,0.016,0.013,43.33,44.18,0.01,0.01,0.351,0.35,2679.4
0.378,0.378,0.016,0.013,43.34,44.19,0.01,0.01,0.35,0.35,2668.4
0.378,0.379,0.016,0.013,43.36,44.21,0.01,0.01,0.35,0.35,2658.56
0.379,0.377,0.016,0.013,43.36,44.2,0.01,0.01,0.35,0.35,2651.62
0.378,0.377,0.016,0.013,43.43,44.19,0.01,0.01,0.35,0.35,2653.94
0.379,0.379,0.016,0.013,43.39,44.19,0.01,0.01,0.35,0.35,2665.51
0.377,0.379,0.016,0.013,43.4,44.21,0.01,0.01,0.35,0.35,2653.36
0.378,0.378,0.016,0.013,43.39,44.2,0.01,0.01,0.35,0.35,2639.47
0.378,0.377,0.016,0.013,43.38,44.19,0.01,0.01,0.35,0.35,2641.2
0.378,0.377,0.016,0.013,43.34,44.2,0.01,0.01,0.35,0.35,2656.25
0.379,0.379,0.016,0.013,43.33,44.21,0.01,0.01,0.35,0.35,2652.78
0.379,0.378,0.016,0.013,43.33,44.2,0.01,0.01,0.35,0.35,2644.68
0.38,0.379,0.016,0.013,43.4,44.2,0.01,0.01,0.35,0.35,2641.78
0.378,0.377,0.016,0.013,43.47,44.16,0.01,0.01,0.349,0.35,2648.15
0.377,0.379,0.016,0.013,43.42,44.17,0.01,0.01,0.35,0.35,2639.47
0.377,0.377,0.016,0.013,43.43,44.16,0.01,0.01,0.35,0.35,2634.84
0.378,0.378,0.016,0.013,43.41,44.16,0.01,0.01,0.349,0.35,2640.63
0.378,0.377,0.016,0.013,43.38,44.16,0.01,0.01,0.349,0.35,2645.83
0.376,0.377,0.016,0.013,43.32,44.16,0.01,0.01,0.35,0.35,2646.41
0.378,0.377,0.016,0.013,43.29,44.17,0.01,0.01,0.351,0.35,2650.46
0.377,0.378,0.016,0.013,43.32,44.17,0.01,0.01,0.35,0.35,2660.88
0.378,0.378,0.016,0.013,43.4,44.18,0.01,0.01,0.351,0.35,2667.82
0.377,0.378,0.016,0.013,43.35,44.17,0.01,0.01,0.351,0.35,2668.4
0.378,0.377,0.016,0.013,43.42,44.18,0.01,0.01,0.35,0.35,2662.62
0.378,0.378,0.016,0.013,43.46,44.16,0.01,0.01,0.35,0.35,2667.25
0.379,0.377,0.016,0.013,43.42,44.17,0.01,0.01,0.349,0.35,2664.35
0.379,0.378,0.016,0.013,43.42,44.16,0.01,0.01,0.35,0.35,2654.51
0.379,0.379,0.016,0.013,43.41,44.15,0.01,0.01,0.35,0.35,2644.68
0.376,0.375,0.016,0.013,43.39,44.16,0.01,0.01,0.35,0.35,2633.1
0.378,0.378,0.016,0.013,43.33,44.15,0.01,0.01,0.35,0.35,2610.53
0.377,0.379,0.016,0.013,43.38,44.16,0.01,0.01,0.35,0.35,2626.16
0.378,0.376,0.016,0.013,43.37,44.16,0.01,0.01,0.35,0.35,2607.06
0.377,0.377,0.016,0.013,43.33,44.15,0.01,0.01,0.35,0.35,2609.95
0.378,0.379,0.016,0.013,43.33,44.15,0.01,0.01,0.35,0.35,2600.69
0.378,0.379,0.016,0.013,43.36,44.15,0.01,0.01,0.35,0.35,2591.44
0.377,0.378,0.016,0.013,43.29,44.15,0.01,0.01,0.35,0.35,2590.86
0.379,0.378,0.016,0.013,43.35,44.14,0.01,0.01,0.35,0.35,2593.75
0.378,0.378,0.016,0.013,43.29,44.15,0.01,0.01,0.349,0.35,2605.9
0.378,0.377,0.016,0.013,43.27,44.15,0.01,0.01,0.351,0.35,2621.53
0.378,0.379,0.016,0.013,43.35,44.16,0.01,0.01,0.35,0.35,2646.99
0.378,0.379,0.016,0.013,43.29,44.15,0.01,0.01,0.35,0.35,2663.77
0.378,0.378,0.016,0.013,43.34,44.15,0.01,0.01,0.351,0.35,2666.67
0.379,0.379,0.016,0.013,43.36,44.16,0.01,0.01,0.35,0.35,2666.67
0.377,0.378,0.016,0.013,43.38,44.15,0.01,0.01,0.35,0.35,2645.25
0.377,0.378,0.016,0.013,43.33,44.14,0.01,0.01,0.35,0.35,2631.94
0.378,0.378,0.016,0.013,43.35,44.16,0.01,0.01,0.35,0.35,2613.43
0.379,0.378,0.016,0.013,43.37,44.15,0.01,0.01,0.35,0.35,2595.49
0.378,0.377,0.016,0.013,43.34,44.15,0.01,0.01,0.35,0.35,2595.49
0.376,0.378,0.016,0.013,43.32,44.15,0.01,0.01,0.35,0.35,2595.49
0.379,0.377,0.016,0.013,43.44,44.15,0.01,0.01,0.351,0.35,2585.07
0.377,0.378,0.016,0.013,43.38,44.16,0.01,0.01,0.349,0.35,2592.01
0.376,0.377,0.016,0.013,43.35,44.15,0.01,0.01,0.35,0.35,2634.26
0.378,0.376,0.016,0.013,43.35,44.15,0.01,0.01,0.35,0.35,2664.35
0.377,0.378,0.016,0.013,43.36,44.14,0.01,0.01,0.35,0.35,2665.51
0.377,0.377,0.016,0.013,43.37,44.16,0.01,0.01,0.35,0.35,2656.25
0.377,0.378,0.016,0.013,43.32,44.17,0.01,0.01,0.35,0.35,2659.72
