pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.374,0.374,0.014,0.012,40.58,41.93,0.01,0,0.35,0.35,1942.71
0.374,0.374,0.014,0.012,40.63,41.95,0.01,0,0.351,0.35,1947.92
0.373,0.375,0.014,0.012,40.58,41.93,0.01,0,0.35,0.35,1940.97
0.373,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1934.03
0.373,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1939.24
0.372,0.374,0.014,0.012,40.62,41.92,0.01,0,0.35,0.35,1938.66
0.373,0.374,0.014,0.012,40.65,41.93,0.01,0,0.35,0.35,1914.35
0.372,0.374,0.014,0.012,40.68,41.94,0.01,0,0.349,0.35,1922.45
0.372,0.374,0.014,0.012,40.66,41.96,0.01,0,0.35,0.35,1925.35
0.372,0.374,0.014,0.012,40.66,41.96,0.01,0,0.35,0.35,1908.56
0.373,0.375,0.014,0.012,40.63,41.94,0.01,0,0.35,0.35,1916.67
0.372,0.374,0.014,0.012,40.59,41.95,0.01,0,0.35,0.35,1928.24
0.373,0.374,0.014,0.012,40.68,41.96,0.01,0,0.35,0.35,1916.09
0.373,0.374,0.014,0.012,40.68,41.95,0.01,0,0.35,0.35,1908.56
0.372,0.375,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1904.51
0.373,0.374,0.014,0.012,40.67,41.97,0.01,0,0.35,0.35,1901.04
0.372,0.374,0.014,0.012,40.63,41.94,0.01,0,0.35,0.35,1903.94
0.372,0.374,0.014,0.012,40.62,41.95,0.01,0,0.35,0.35,1907.41
0.373,0.374,0.014,0.012,40.71,41.95,0.01,0,0.35,0.35,1913.77
0.372,0.375,0.014,0.012,40.64,41.96,0.01,0,0.35,0.35,1910.3
0.372,0.374,0.014,0.012,40.64,41.96,0.01,0,0.35,0.35,1920.72
0.372,0.374,0.014,0.012,40.6,41.93,0.01,0,0.35,0.35,1929.4
0.373,0.374,0.014,0.012,40.68,41.95,0.01,0,0.35,0.35,1926.5
0.372,0.374,0.014,0.012,40.59,41.93,0.01,0,0.35,0.35,1904.51
0.372,0.374,0.014,0.012,40.62,41.95,0.01,0,0.35,0.35,1912.62
0.372,0.374,0.014,0.012,40.62,41.93,0.01,0,0.35,0.35,1909.14
0.373,0.374,0.014,0.012,40.59,41.96,0.01,0,0.35,0.35,1903.94
0.373,0.374,0.014,0.012,40.68,41.95,0.01,0,0.35,0.35,1912.04
0.372,0.374,0.014,0.012,40.61,41.95,0.01,0,0.349,0.35,1932.87
0.374,0.374,0.014,0.012,40.65,41.95,0.01,0,0.35,0.35,1916.67
0.372,0.375,0.014,0.012,40.59,41.94,0.01,0,0.35,0.35,1914.35
0.373,0.373,0.014,0.012,40.62,41.93,0.01,0,0.349,0.35,1933.45
0.373,0.374,0.014,0.012,40.66,41.96,0.01,0,0.35,0.35,1927.66
0.373,0.374,0.014,0.012,40.6,41.95,0.01,0,0.351,0.35,1903.94
0.372,0.373,0.014,0.012,40.57,41.95,0.01,0,0.35,0.35,1908.56
0.372,0.374,0.014,0.012,40.65,41.96,0.01,0,0.35,0.35,1929.4
0.372,0.375,0.014,0.012,40.65,41.96,0.01,0,0.35,0.35,1939.24
0.372,0.375,0.014,0.012,40.61,41.94,0.01,0,0.35,0.35,1950.81
0.372,0.374,0.014,0.012,40.68,41.95,0.01,0,0.35,0.35,1955.44
0.372,0.374,0.014,0.012,40.68,41.95,0.01,0,0.35,0.35,1954.86
0.372,0.374,0.014,0.012,40.59,41.95,0.01,0,0.35,0.35,1932.87
0.373,0.374,0.014,0.012,40.63,41.95,0.01,0,0.349,0.35,1936.92
0.373,0.374,0.014,0.012,40.62,41.96,0.01,0,0.35,0.35,1927.66
0.372,0.374,0.014,0.012,40.64,41.96,0.01,0,0.35,0.35,1907.99
0.374,0.375,0.014,0.012,40.68,41.96,0.01,0,0.35,0.35,1902.78
0.372,0.373,0.014,0.012,40.62,41.96,0.01,0,0.351,0.35,1920.14
0.372,0.374,0.014,0.012,40.63,41.96,0.01,0,0.35,0.35,1924.77
0.373,0.374,0.014,0.012,40.66,41.97,0.01,0,0.35,0.35,1923.61
0.373,0.375,0.014,0.012,40.71,41.97,0.01,0,0.351,0.35,1947.92
0.371,0.373,0.014,0.012,40.56,41.94,0.01,0,0.351,0.35,1951.39
0.371,0.374,0.014,0.012,40.62,41.94,0.01,0,0.349,0.35,1937.5
0.373,0.373,0.014,0.012,40.65,41.95,0.01,0,0.349,0.35,1948.5
0.372,0.374,0.014,0.012,40.73,41.96,0.01,0,0.351,0.35,1957.75
0.372,0.374,0.014,0.012,40.55,41.94,0.01,0,0.349,0.35,1945.6
0.372,0.372,0.014,0.012,40.7,41.96,0.01,0,0.349,0.35,1934.61
