pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_power,pump_2_power,pump_3_power,pump_4_power,sum_pressure,target_pressure,flow
0.445,0.015,0.449,0.013,44.1,44.37,0,0.01,0.422,0.42,2164
0.442,0.015,0.448,0.013,43.71,43.95,0,0.01,0.424,0.42,2164
0.441,0.015,0.445,0.013,43.78,44.12,0,0.01,0.417,0.42,2164
0.444,0.015,0.447,0.013,43.89,44.15,0,0.01,0.419,0.42,2164
0.444,0.015,0.448,0.013,43.61,43.87,0,0.01,0.423,0.42,2164
0.44,0.015,0.444,0.013,43.74,43.97,0,0.01,0.417,0.42,2164
0.439,0.015,0.447,0.013,43.93,44.24,0,0.01,0.421,0.42,2164
0.443,0.015,0.447,0.013,43.63,43.87,0,0.01,0.423,0.42,2164
0.438,0.015,0.442,0.013,43.92,44.17,0,0.01,0.417,0.42,2164
0.444,0.015,0.448,0.013,44.08,44.31,0,0.01,0.422,0.42,2164
0.447,0.015,0.445,0.013,43.65,43.89,0,0.01,0.423,0.42,2164
0.439,0.015,0.444,0.013,43.84,44.15,0,0.01,0.417,0.42,2164
0.444,0.015,0.448,0.013,43.79,44.06,0,0.01,0.422,0.42,2164
0.44,0.015,0.446,0.013,43.57,43.83,0,0.01,0.418,0.42,2164
0.444,0.015,0.447,0.013,43.9,44.2,0,0.01,0.418,0.42,2164
0.445,0.015,0.447,0.013,43.67,43.97,0,0.01,0.422,0.42,2164
0.441,0.015,0.443,0.013,43.64,44.1,0,0.01,0.419,0.42,2164
0.444,0.015,0.447,0.013,43.87,44.14,0,0.01,0.419,0.42,2164
0.444,0.015,0.448,0.013,43.68,43.96,0,0.01,0.42,0.42,2164
0.441,0.015,0.445,0.013,43.71,43.99,0,0.01,0.418,0.42,2164
0.444,0.015,0.447,0.013,43.87,44.16,0,0.01,0.418,0.42,2164
0.444,0.015,0.448,0.013,43.68,44.02,0,0.01,0.422,0.42,2164
0.443,0.015,0.445,0.013,43.69,43.96,0,0.01,0.418,0.42,2164
