pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.448,0.012,0.451,0.01,46.1,0.0,46.23,0,0.421,0.42,2381.37
0.446,0.012,0.451,0.01,45.96,0.0,46.15,0,0.42,0.42,2398.73
0.445,0.012,0.45,0.01,45.99,0.0,46.2,0,0.42,0.42,2403.36
0.445,0.012,0.451,0.01,45.96,0.0,46.2,0,0.42,0.42,2402.2
0.444,0.012,0.448,0.01,45.98,0.0,46.18,0,0.419,0.42,2398.73
0.445,0.012,0.448,0.01,46.09,0.0,46.27,0,0.419,0.42,2398.73
0.446,0.012,0.45,0.01,46.05,0.0,46.31,0,0.42,0.42,2388.89
0.444,0.012,0.449,0.01,46.09,0.0,46.26,0,0.419,0.42,2391.78
0.443,0.012,0.45,0.01,46.23,0.0,46.47,0,0.419,0.42,2399.88
0.447,0.012,0.45,0.01,46.18,0.0,46.38,0,0.418,0.42,2399.88
0.444,0.012,0.448,0.01,46.36,0.0,46.51,0,0.417,0.42,2436.34
0.446,0.012,0.449,0.01,46.39,0.0,46.63,0,0.418,0.42,2436.34
0.444,0.012,0.446,0.01,46.56,0.0,46.75,0,0.416,0.42,2459.49
0.445,0.012,0.449,0.01,46.62,0.0,46.83,0,0.419,0.42,2463.54
0.444,0.012,0.45,0.01,46.54,0.0,46.76,0,0.419,0.42,2487.85
0.443,0.012,0.448,0.01,46.72,0.0,46.86,0,0.417,0.42,2512.73
0.446,0.012,0.45,0.01,46.76,0.0,46.95,0,0.418,0.42,2513.31
0.447,0.012,0.45,0.01,46.75,0.0,46.98,0,0.418,0.42,2526.04
0.445,0.012,0.451,0.01,46.79,0.0,46.98,0,0.418,0.42,2548.61
0.446,0.012,0.45,0.01,46.98,0.0,47.13,0,0.417,0.42,2588.54
0.447,0.012,0.453,0.01,46.88,0.0,47.04,0,0.42,0.42,2575.23
0.445,0.012,0.448,0.01,47.05,0.0,47.17,0,0.417,0.42,2616.9
0.448,0.012,0.448,0.01,47.15,0.0,47.27,0,0.42,0.42,2618.06
0.447,0.012,0.454,0.01,47.0,0.0,47.1,0,0.421,0.42,2653.36
0.444,0.012,0.449,0.01,47.01,0.0,47.06,0,0.418,0.42,2661.46
0.448,0.012,0.453,0.01,47.04,0.0,47.25,0,0.42,0.42,2665.51
0.448,0.012,0.451,0.01,47.01,0.0,47.16,0,0.419,0.42,2681.71
0.447,0.012,0.452,0.01,47.06,0.0,47.26,0,0.419,0.42,2700.23
0.448,0.012,0.454,0.01,47.09,0.0,47.16,0,0.42,0.42,2710.65
0.446,0.012,0.45,0.01,47.08,0.0,47.2,0,0.419,0.42,2713.54
0.446,0.012,0.452,0.01,47.1,0.0,47.27,0,0.42,0.42,2703.7
0.448,0.012,0.454,0.01,47.04,0.0,47.16,0,0.42,0.42,2721.64
0.448,0.012,0.451,0.01,47.29,0.0,47.38,0,0.418,0.42,2709.49
0.449,0.012,0.455,0.01,47.07,0.0,47.25,0,0.422,0.42,2692.71
0.449,0.012,0.451,0.01,47.0,0.0,47.11,0,0.419,0.42,2701.97
0.45,0.012,0.45,0.01,47.18,0.0,47.36,0,0.425,0.42,2696.76
0.445,0.012,0.457,0.01,46.68,0.0,46.89,0,0.424,0.42,2700.81
0.447,0.012,0.449,0.01,46.98,0.0,47.04,0,0.418,0.42,2707.18
0.454,0.012,0.455,0.01,46.93,0.0,47.14,0,0.425,0.42,2686.92
0.447,0.012,0.449,0.01,46.47,0.0,46.65,0,0.418,0.42,2689.24
0.451,0.012,0.446,0.01,46.97,0.0,47.14,0,0.416,0.42,2678.24
0.452,0.012,0.457,0.01,46.93,0.0,46.79,0,0.424,0.42,2671.3
0.445,0.012,0.449,0.01,46.66,0.0,46.74,0,0.418,0.42,2666.09
0.445,0.012,0.452,0.01,46.85,0.0,47.03,0,0.42,0.42,2663.77
0.45,0.012,0.457,0.01,46.55,0.0,46.78,0,0.425,0.42,2652.78
0.443,0.012,0.446,0.01,46.67,0.0,46.82,0,0.421,0.42,2646.99
0.454,0.012,0.452,0.01,46.88,0.0,47.06,0,0.421,0.42,2603.59
0.453,0.012,0.456,0.01,46.58,0.0,46.77,0,0.424,0.42,2598.96
0.444,0.012,0.452,0.01,46.61,0.0,46.74,0,0.419,0.42,2604.17
0.447,0.012,0.452,0.01,46.78,0.0,46.92,0,0.422,0.42,2623.84
0.447,0.012,0.451,0.01,46.5,0.0,46.68,0,0.423,0.42,2604.17
0.446,0.012,0.45,0.01,46.62,0.0,46.67,0,0.418,0.42,2586.23
