pump_1_pressure,pump_2_pressure,pump_3_pressure,pump_4_pressure,pump_1_frequency,pump_2_frequency,pump_3_frequency,pump_4_frequency,sum_pressure,target_pressure,flow
0.433,0.43,0.014,0.012,42.42,42.15,0.01,0.01,0.411,0.41,1392.36
0.432,0.43,0.014,0.012,42.44,42.13,0.01,0.01,0.41,0.41,1388.31
0.432,0.429,0.014,0.012,42.51,42.16,0.01,0.01,0.41,0.41,1387.73
0.432,0.43,0.014,0.012,42.39,42.18,0.01,0.01,0.41,0.41,1388.31
0.433,0.43,0.014,0.012,42.38,42.24,0.01,0.01,0.411,0.41,1396.41
0.431,0.429,0.014,0.012,42.62,42.2,0.01,0.01,0.408,0.41,1399.31
0.43,0.429,0.014,0.012,42.45,42.11,0.01,0.01,0.41,0.41,1403.94
0.431,0.429,0.014,0.012,42.48,42.11,0.01,0.01,0.411,0.41,1403.36
0.432,0.429,0.014,0.012,42.47,42.12,0.01,0.01,0.41,0.41,1404.51
0.432,0.429,0.014,0.012,42.49,42.16,0.01,0.01,0.409,0.41,1412.62
0.431,0.429,0.014,0.012,42.43,42.13,0.01,0.01,0.41,0.41,1413.77
0.434,0.431,0.014,0.012,42.5,42.14,0.01,0.01,0.411,0.41,1411.46
0.43,0.43,0.014,0.012,42.47,42.12,0.01,0.01,0.41,0.41,1405.67
0.432,0.429,0.014,0.012,42.44,42.11,0.01,0.01,0.41,0.41,1402.2
0.431,0.429,0.014,0.012,42.48,42.13,0.01,0.01,0.41,0.41,1400.46
0.433,0.429,0.014,0.012,42.5,42.14,0.01,0.01,0.41,0.41,1403.94
0.431,0.429,0.014,0.012,42.47,42.12,0.01,0.01,0.41,0.41,1399.88
0.431,0.429,0.014,0.012,42.45,42.15,0.01,0.01,0.41,0.41,1395.83
0.431,0.43,0.014,0.012,42.5,42.12,0.01,0.01,0.41,0.41,1388.31
0.431,0.428,0.014,0.012,42.54,42.11,0.01,0.01,0.409,0.41,1382.52
0.432,0.429,0.014,0.012,42.34,42.11,0.01,0.01,0.409,0.41,1384.26
0.432,0.431,0.014,0.012,42.54,42.13,0.01,0.01,0.411,0.41,1386.57
0.431,0.429,0.014,0.012,42.51,42.13,0.01,0.01,0.409,0.41,1375
0.433,0.429,0.014,0.012,42.45,42.19,0.01,0.01,0.41,0.41,1376.74
0.432,0.43,0.014,0.012,42.47,42.18,0.01,0.01,0.411,0.41,1384.26
0.431,0.429,0.014,0.012,42.51,42.19,0.01,0.01,0.41,0.41,1388.89
0.432,0.429,0.014,0.012,42.5,42.17,0.01,0.01,0.41,0.41,1391.2
0.431,0.429,0.014,0.012,42.42,42.16,0.01,0.01,0.41,0.41,1396.41
0.431,0.428,0.014,0.012,42.51,42.14,0.01,0.01,0.409,0.41,1403.94
0.431,0.429,0.014,0.012,42.44,42.18,0.01,0.01,0.409,0.41,1407.99
0.432,0.429,0.014,0.012,42.44,42.2,0.01,0.01,0.411,0.41,1404.51
0.431,0.43,0.014,0.012,42.5,42.17,0.01,0.01,0.41,0.41,1406.25
0.431,0.428,0.014,0.012,42.48,42.14,0.01,0.01,0.41,0.41,1406.83
0.432,0.43,0.014,0.012,42.43,42.14,0.01,0.01,0.41,0.41,1399.31
0.432,0.431,0.014,0.012,42.52,42.17,0.01,0.01,0.411,0.41,1396.41
0.432,0.43,0.014,0.012,42.47,42.15,0.01,0.01,0.411,0.41,1395.25
0.43,0.428,0.014,0.012,42.54,42.18,0.01,0.01,0.41,0.41,1395.25
0.432,0.429,0.014,0.012,42.46,42.17,0.01,0.01,0.409,0.41,1394.1
0.432,0.43,0.014,0.012,42.53,42.19,0.01,0.01,0.411,0.41,1397.57
0.431,0.429,0.014,0.012,42.48,42.19,0.01,0.01,0.41,0.41,1396.41
0.431,0.429,0.014,0.012,42.48,42.19,0.01,0.01,0.409,0.41,1396.99
0.432,0.429,0.014,0.012,42.47,42.19,0.01,0.01,0.41,0.41,1401.62
0.431,0.43,0.014,0.012,42.52,42.18,0.01,0.01,0.41,0.41,1403.36
0.431,0.429,0.014,0.012,42.52,42.17,0.01,0.01,0.41,0.41,1403.36
0.432,0.43,0.014,0.012,42.5,42.2,0.01,0.01,0.41,0.41,1401.62
0.431,0.429,0.014,0.012,42.52,42.19,0.01,0.01,0.41,0.41,1408.56
0.431,0.428,0.014,0.012,42.46,42.16,0.01,0.01,0.41,0.41,1409.14
0.431,0.429,0.014,0.012,42.5,42.18,0.01,0.01,0.41,0.41,1403.94
0.432,0.429,0.014,0.012,42.51,42.19,0.01,0.01,0.41,0.41,1399.31
0.431,0.428,0.014,0.012,42.5,42.17,0.01,0.01,0.409,0.41,1392.36
0.431,0.429,0.014,0.012,42.44,42.2,0.01,0.01,0.41,0.41,1386
0.432,0.429,0.014,0.012,42.55,42.2,0.01,0.01,0.411,0.41,1381.37
0.432,0.429,0.014,0.012,42.56,42.18,0.01,0.01,0.409,0.41,1377.31
0.431,0.429,0.014,0.012,42.5,42.15,0.01,0.01,0.41,0.41,1376.74
0.431,0.43,0.014,0.012,42.51,42.17,0.01,0.01,0.41,0.41,1379.05
0.431,0.428,0.014,0.012,42.55,42.18,0.01,0.01,0.409,0.41,1382.52
0.432,0.429,0.014,0.012,42.43,42.15,0.01,0.01,0.411,0.41,1386.57
0.432,0.43,0.014,0.012,42.55,42.19,0.01,0.01,0.411,0.41,1395.25
0.43,0.429,0.014,0.012,42.5,42.14,0.01,0.01,0.409,0.41,1402.2
0.431,0.429,0.014,0.012,42.44,42.15,0.01,0.01,0.41,0.41,1402.2
0.432,0.43,0.014,0.012,42.53,42.18,0.01,0.01,0.411,0.41,1395.83
0.432,0.429,0.014,0.012,42.5,42.18,0.01,0.01,0.41,0.41,1395.83
0.431,0.429,0.014,0.012,42.47,42.17,0.01,0.01,0.41,0.41,1394.68
0.431,0.429,0.014,0.012,42.38,42.17,0.01,0.01,0.41,0.41,1395.83
0.431,0.43,0.014,0.012,42.47,42.18,0.01,0.01,0.411,0.41,1391.78
0.432,0.429,0.014,0.012,42.5,42.17,0.01,0.01,0.41,0.41,1398.15
0.433,0.429,0.014,0.012,42.48,42.18,0.01,0.01,0.41,0.41,1405.09
0.431,0.428,0.014,0.012,42.55,42.18,0.01,0.01,0.409,0.41,1409.72
0.432,0.429,0.014,0.012,42.47,42.17,0.01,0.01,0.411,0.41,1415.51
0.432,0.43,0.014,0.012,42.54,42.16,0.01,0.01,0.411,0.41,1417.25
0.432,0.429,0.014,0.012,42.52,42.19,0.01,0.01,0.41,0.41,1414.93
0.43,0.428,0.014,0.012,42.48,42.17,0.01,0.01,0.41,0.41,1412.04
0.43,0.429,0.014,0.012,42.5,42.17,0.01,0.01,0.409,0.41,1412.62
0.432,0.429,0.014,0.012,42.5,42.19,0.01,0.01,0.41,0.41,1410.3
0.431,0.43,0.014,0.012,42.49,42.16,0.01,0.01,0.41,0.41,1410.3
